Latin,"Translation 1","Translation 2","Translation 3","Translation 4","Translation 5","Translation 6","Translation 7","Translation 8","Translation 9","Translation 10","Translation 11"
"numerī regunt mundum.","Numbers rule the world.","The numbers rule the world.","Numbers are ruling the world.","The numbers are ruling the world.","Numbers direct the world.","Numbers are directing the world.","The numbers direct the world.",,,,
"virī īvērunt ad tyrannum et dīxērunt, “trāde nōbīs Danielem”, et is trādidit virīs eum.","The men went to the tyrant and said, ""surrender to us Daniel"", and he surrendered him to the men.","The men went to the tyrant and they said, ""surrender to us Daniel"", and he surrendered him to the men.","The men went to the tyrant and said, ""surrender Daniel to us"", and he surrendered him to the men.","The men went to the tyrant and they said, ""surrender Daniel to us"", and he surrendered him to the men.","The men went to the tyrant and said, ""surrender to us Daniel"", and the tyrant surrendered him to the men.","The men went to the tyrant and they said, ""surrender to us Daniel"", and the tyrant surrendered him to the men.","The men went to the tyrant and said, ""hand Daniel over to us"", and he handed him over to the men.","The men went to the tyrant and they said, ""hand Daniel over to us"", and he handed him over to the men.","The men went to the tyrant and said, ""deliver Daniel to us,"" and he delivered him to the men.","The men went to the tyrant and they said, ""deliver Daniel to us,"" and he delivered him to the men.",
"nōlīte confīdere in verbīs mendaciī.","Don't trust in the words of a lie.","Don't rely on the words of a lie.","Don't trust in the words of a falsehood.","Don't rely on the words of a falsehood.","Do not trust in the words of a lie.","Do not rely on the words of a lie.","Do not trust in the words of a falsehood.","Do not rely on the words of a falsehood.","Don't trust in words of a lie.","Don't rely on words of a lie.",
"mī fīlī, disce sapientiam!","My son, learn wisdom!","My son, learn discernment!","Learn wisdom, my son!",,,,,,,,
"Iesus in caelum oculōs advertit et dīxit: “Pater, grātiās agō tibi quoniam audivistī mē.”","Jesus turned his eyes to the sky and said: ""Father, I thank you because you heard me.""","Jesus turned his eyes to the sky and said: ""Father, I give thanks to you because you listened to me.""","Jesus turned his eyes to heaven and said: ""Father, I thank you because you heard me.""","Jesus turned his eyes to heaven and said: ""Father, I give thanks to you because you listened to me.""","Jesus turned his eyes up to the sky and said: ""Father, I thank you because you heard me.""","Jesus turned his eyes up to the sky and said: ""Father, I give thanks to you because you heard me.""","Jesus turned his eyes up to heaven and said: ""Father, I thank you because you heard me.""","Jesus turned his eyes up to heaven and said: ""Father, I give thanks to you because you heard me.""","Jesus turned his eyes up to heaven and said: ""Father, I thank you because you have heard me.""","Jesus turned his eyes up to the sky and said: ""Father, I thank you because you have heard me.""",
"Iūppiter in caelīs, Caesar regit omnia in terrīs.","Jupiter rules all in heaven, Caesar rules all on earth.","Jupiter rules all in the sky, Caesar rules all on earth.","Jupiter rules all in the sky, Caesar rules all on the earth.","Jupiter rules all in heaven, Caesar rules all on the earth.","Jupiter rules all things in the heavens, Caesar rules all things on the lands.","Jupiter rules all things in the heavens, Caesar rules all things on the earth.","Jupiter rules all things in the heavens, Caesar rules all things on earth.","Jupiter rules all things in the skies, Caesar rules all things on the lands.","Jupiter rules all things in the skies, Caesar rules all things on the earth.","Jupiter rules all things in the skies, Caesar rules all things on earth.",
"amīcī sunt dōnum deōrum.","Friends are the gift of the gods.","Friends are a gift of the gods.","Friends are the gift of gods.","Friends are a gift of gods.","Friends are the gods' gift.","Friends are gods' gift.",,,,,
"officium hodiē; crās ōtium.","Duty today; leisure tomorrow.","A kindness today; leisure tomorrow.","A favour today; leisure tomorrow.","Duty today; peace tomorrow.","A kindness today; peace tomorrow.","A favour today; peace tomorrow.","Duty today; tomorrow leisure.","A kindness today; tomorrow leisure.","A favour today; tomorrow leisure.","Duty today; tomorrow peace.",
"quandō sumus inter amīcōs in ōtiō, vīnum sine aquā bibere possumus.","When we are among friends in leisure, we can drink wine without water.","When we are between friends in leisure, we can drink wine without water.","When we are amid friends in leisure, we can drink wine without water.","When we are among friends in leisure, we are able to drink wine without water.","When we are between friends in leisure, we are able to drink wine without water.","When we are amid friends in leisure, we are able to drink wine without water.","When we are among friends in peace, we can drink wine without water.","When we are among friends in peace, we are able to drink wine without water.","When we are amid friends in peace, we can drink wine without water.","When we are amid friends in peace, we are able to drink wine without water.",
"magistrī ā tyrannīs sine morā fūgērunt. possuntne redīre hodiē?","The teachers fled from the tyrants without delay. Are they able to return today?","The masters fled from the tyrants without delay. Are they able to return today?","The teachers fled from the tyrants without delay. Are they able to go back today?","The masters fled from the tyrants without delay. Are they able to go back today?","The teachers escaped from the tyrants without delay. Are they able to return today?","The masters escaped from the tyrants without delay. Are they able to return today?","The teachers escaped from the tyrants without delay. Are they able to go back today?","The masters escaped from the tyrants without delay. Are they able to go back today?","The teachers fled from the tyrants without delay. Can they return today?","The masters fled from the tyrants without delay. Can they return today?",
"qūo iit fēmina? ea iit in templum.","Where did the woman go? She went into the temple.","Where has the woman gone? She went into the temple.","Where has the woman gone? She has gone into the temple.","Where did the woman go? She has gone into the temple.","The woman has gone where? She has gone into the temple.","The woman has gone where? She went into the temple.","The woman went where? She went into the temple.","The woman went where? She has gone into the temple.","Where did the woman go? She went up to the temple.","Where has the woman gone? She has gone up to the temple.",
"quid rēgīna dē officiō dīxit tibi?","What did the queen say to you about duty?","What did the queen say about duty to you?","What did the queen say to you about a favour?","What did the queen say about a favour to you?","What has the queen said to you about duty?","What has the queen said about duty to you?","What has the queen said to you about a favour?","What has the queen said about a favour to you?","What did the queen say to you about a kindness?","What has the queen said to you about a kindness?",
"quando fīliī agricolārum domum redeunt, trans agrōs semper eunt.","When the sons of the farmers return home, they always go across the fields.","When the farmers' sons return home, they always go across the fields.","When the sons of the farmers go back home, they always go across the fields.","When the farmers' sons go back home, they always go across the fields.","When the farmers's sons return home, they always go across the fields.","When the farmers's sons go back home, they always go across the fields.","When the sons of the farmers are returning home, they always go across the fields.","When the farmers' sons are returning home, they always go across the fields.","When the sons of the farmers are going back home, they always go across the fields.","When the farmers' sons are going back home, they always go across the fields.",
